race63,hisp,header
1,0,"H73005_dp"
2,0,"H73006_dp"
3,0,"H73007_dp"
4,0,"H73008_dp"
5,0,"H73009_dp"
6,0,"H73010_dp"
7,0,"H73013_dp"
8,0,"H73014_dp"
9,0,"H73015_dp"
10,0,"H73016_dp"
11,0,"H73017_dp"
12,0,"H73018_dp"
13,0,"H73019_dp"
14,0,"H73020_dp"
15,0,"H73021_dp"
16,0,"H73022_dp"
17,0,"H73023_dp"
18,0,"H73024_dp"
19,0,"H73025_dp"
20,0,"H73026_dp"
21,0,"H73027_dp"
22,0,"H73029_dp"
23,0,"H73030_dp"
24,0,"H73031_dp"
25,0,"H73032_dp"
26,0,"H73033_dp"
27,0,"H73034_dp"
28,0,"H73035_dp"
29,0,"H73036_dp"
30,0,"H73037_dp"
31,0,"H73038_dp"
32,0,"H73039_dp"
33,0,"H73040_dp"
34,0,"H73041_dp"
35,0,"H73042_dp"
36,0,"H73043_dp"
37,0,"H73044_dp"
38,0,"H73045_dp"
39,0,"H73046_dp"
40,0,"H73047_dp"
41,0,"H73048_dp"
42,0,"H73050_dp"
43,0,"H73051_dp"
44,0,"H73052_dp"
45,0,"H73053_dp"
46,0,"H73054_dp"
47,0,"H73055_dp"
48,0,"H73056_dp"
49,0,"H73057_dp"
50,0,"H73058_dp"
51,0,"H73059_dp"
52,0,"H73060_dp"
53,0,"H73061_dp"
54,0,"H73062_dp"
55,0,"H73063_dp"
56,0,"H73064_dp"
57,0,"H73066_dp"
58,0,"H73067_dp"
59,0,"H73068_dp"
60,0,"H73069_dp"
61,0,"H73070_dp"
62,0,"H73071_dp"
63,0,"H73073_dp"
